contact_id,body1_id,body2_id,px,py,nx,ny,tx,ty,f_normal,f_tangent_x,f_tangent_y,f_tangent_mag,v_tangent,classification,cone_status
66,18,21,-0.013505,1.924823,0.567185,-0.823591,0.823591,0.567185,0.018754,-0.007747,-0.005335,0.009406,0.000000,near-cone,at-cone
67,18,21,-1.013266,1.903002,0.542824,-0.839847,0.839847,0.542824,0.052220,-0.021953,-0.014189,0.026139,0.000000,near-cone,at-cone
68,18,22,-0.009357,1.930119,0.807254,-0.590204,0.590204,0.807254,0.000000,-0.000011,-0.000015,0.000018,0.000000,sticking,within-cone
69,19,20,1.008815,1.422693,0.116286,0.993216,-0.993216,0.116286,0.220432,0.109465,-0.012816,0.110213,0.000000,near-cone,at-cone
70,19,20,1.016581,1.922632,0.166802,0.985990,-0.985990,0.166802,0.114813,-0.056597,0.009575,0.057402,0.000000,near-cone,at-cone
71,19,21,0.006243,1.915791,-0.726965,-0.686674,0.686674,-0.726965,0.000000,0.000000,-0.000000,0.000001,0.000000,sticking,within-cone
72,19,22,1.009979,1.894994,-0.290065,-0.957007,0.957007,-0.290065,0.000000,-0.000004,0.000001,0.000004,0.000000,sticking,within-cone
73,19,22,0.010391,1.921087,-0.855930,-0.517091,0.517091,-0.855930,0.038124,-0.009869,0.016336,0.019085,0.000000,near-cone,at-cone
74,21,22,0.002195,1.913345,0.616578,0.787294,-0.787294,0.616578,0.177166,-0.069759,0.054633,0.088606,0.000000,near-cone,at-cone
75,21,22,0.005963,2.413098,0.966123,0.258081,-0.258081,0.966123,0.000000,-0.000001,0.000005,0.000005,0.000000,sticking,within-cone
76,21,23,0.001795,2.398891,0.860210,-0.509941,0.509941,0.860210,0.000004,-0.000002,-0.000003,0.000004,0.000000,near-cone,at-cone
77,21,23,-0.997890,2.373865,0.809181,-0.587560,0.587560,0.809181,0.048900,-0.014365,-0.019783,0.024449,0.000000,near-cone,at-cone
78,21,24,-0.011910,2.402735,0.281820,-0.959467,0.959467,0.281820,0.444011,-0.158372,-0.046518,0.165063,0.000000,sticking,within-cone
79,22,23,0.021190,2.404072,-0.281529,-0.959553,0.959553,-0.281529,0.000021,0.000037,-0.000011,0.000038,0.000000,near-cone,at-cone
80,22,24,1.006560,2.365180,-0.768096,-0.640334,0.640334,-0.768096,0.241251,0.077255,-0.092669,0.120648,0.000000,near-cone,at-cone
81,22,24,0.007485,2.407916,-0.865093,-0.501611,0.501611,-0.865093,0.000000,0.000006,-0.000010,0.000012,0.000000,sticking,within-cone
82,23,24,0.003317,2.393708,-0.962837,0.270083,-0.270083,-0.962837,0.010663,-0.001438,-0.005125,0.005323,0.000000,near-cone,at-cone
83,23,24,0.008403,2.893335,0.803288,0.595591,-0.595591,0.803288,0.080965,0.024106,-0.032513,0.040474,0.000000,near-cone,at-cone
